Variable	Default ([Range])	Type	Comment
core.wd	(not set)	directory	current working directory
core.extension	.fit	string	FITS file extension
core.force_16bit	false	boolean	don't use 32 bits for pixel depth
core.fits_save_icc	true	boolean	embed ICC profiles in FITS when saving
core.allow_heterogeneous_fitseq	false	boolean	allow FITS cubes to have different sizes
core.mem_mode	0 [0, 1]	integer	memory mode (0 ratio, 1 amount)
core.mem_ratio	0.9 [0.05, 4]	double	memory ratio of available
core.mem_amount	10 [0.1, 1e+06]	double	amount of memory in GB
core.hd_bitdepth	20 [17, 24]	integer	HD AutoStretch bit depth
core.script_check_requires	true	boolean	need requires cmd in script
core.pipe_check_requires	false	boolean	need requires cmd in pipe
core.check_updates	false	boolean	check update at start-up
core.lang	(not set)	string	active siril language
core.swap_dir	os dependant	directory	swap directory
core.binning_update	true	boolean	update pixel size of binned images
core.wcs_formalism	1 [0, 1]	integer	WCS formalism used in FITS header
core.catalogue_namedstars	~/.local/share/kstars/namedstars.dat	string	Path of the namedstars.dat catalogue
core.catalogue_unnamedstars	~/.local/share/kstars/unnamedstars.dat	string	Path of the unnamedstars.dat catalogue
core.catalogue_tycho2	~/.local/share/kstars/deepstars.dat	string	Path of the deepstars.dat catalogue
core.catalogue_nomad	~/.local/share/kstars/USNO-NOMAD-1e8.dat	string	Path of the USNO-NOMAD-1e8.dat catalogue
core.catalogue_gaia_astro	~/.local/share/siril/gaia_astrometric.dat	string	Path of the local Gaia astrometric catalogue
core.catalogue_gaia_photo	~/.local/share/siril/gaia_photometric.dat	string	Path of the local Gaia photometric catalogue
core.rgb_aladin	false	boolean	add CTYPE3='RGB' in the FITS header
core.use_checksum	false	boolean	Verify file checksums if they exist
core.copyright	(not set)	string	user copyright to put in file header
core.starnet_exe	(not set)	string	location of the StarNet executable
core.starnet_weights	(not set)	string	location of the StarNet-torch weights file
core.graxpert_path	(not set)	string	location of the GraXpert executable
core.asnet_dir	(not set)	string	directory of the asnet_ansvr installation
core.fftw_timelimit	60	double	FFTW planning timelimit
core.fftw_conv_fft_cutoff	15	integer	Convolution minimum kernel size to use FFTW
core.fftwf_strategy	0	integer	FFTW planning strategy
core.fftw_multithreaded	true	boolean	multithreaded FFTW
core.max_slice_size	32769 [512, 32769]	integer	Maximum slice size for automated slice processing
starfinder.focal_length	0 [0, 999999]	double	focal length in mm for radius adjustment
starfinder.pixel_size	0 [0, 99]	double	pixel size in µm for radius adjustment
debayer.use_bayer_header	true	boolean	use pattern from the file header
debayer.pattern	0 [0, 7]	integer	index of the Bayer pattern
debayer.interpolation	8 [0, 9]	integer	type of interpolation
debayer.orientation	0 [0, 3]	integer	row-order preference
debayer.offset_x	0 [0, 1]	integer	Bayer matrix offset X
debayer.offset_y	0 [0, 1]	integer	Bayer matrix offset Y
debayer.xtrans_passes	1 [1, 4]	integer	Number of passes for the X-Trans Markesteijn algorithm
photometry.gain	2.3 [0, 10]	double	electrons per ADU for noise estimation
photometry.inner	20 [2, 100]	double	inner radius for background annulus
photometry.outer	30 [3, 200]	double	outer radius for background annulus
photometry.inner_factor	4.2 [2, 50]	double	factor for inner radius automatic computation
photometry.outer_factor	6.3 [2, 50]	double	factor for outer radius automatic computation
photometry.force_radius	true	boolean	force flux aperture value
photometry.auto_aperture_factor	4 [1, 5]	double	Radius/halfFWHM ratio
photometry.aperture	10 [1, 100]	double	forced aperture for flux computation
photometry.minval	-1500 [-65536, 65534]	double	minimum valid pixel value for photometry
photometry.maxval	60000 [1, 65535]	double	maximum valid pixel value for photometry
photometry.discard_var_catalogues	4 [0, 7]	integer	catalogues to be used to discard the variable stars from the comparison stars list
photometry.redpref	(not set)	string	preferred SPCC red filter
